"Monsoon" "Upper cloud"
"plots" 191 153
"Abelia chinensis R. Br. var. ionandra (Hayata) Masam." 0 1
"Abies kawakamii (Hayata) Ito" 0 2
"Acacia confusa Merr." 8 0
"Acer albopurpurascens Hayata" 0 1
"Acer kawakamii Koidzumi" 8 7
"Acer morrisonense Hayata" 3 25
"Acer palmatum Thunb. var. pubescens Li" 0 12
"Acer serrulatum Hayata" 29 6
"Actinidia chinensis Planch. var. setosa Li" 1 0
"Adinandra formosana Hayata" 69 12
"Adinandra lasiostyla Hayata" 0 34
"Aeschynanthus acuminatus Wall. ex A. DC." 1 0
"Ailanthus altissima (Miller) Swingle var. tanakai (Hayata) Sasaki" 0 0
"Akebia trifoliata (Thunb.) Koidz. subsp. australis (Diels) T. Shimizu" 0 0
"Alangium chinense (Lour.) Rehder" 0 0
"Albizia falcata Bacher ex Merill" 0 0
"Aleurites fordii Hemsl." 1 0
"Aleurites montana E. H. Wilson" 6 0
"Alniphyllum pterospermum Matsum." 11 0
"Alnus formosana (Burkill ex Forbes & Hemsl.) Makino" 2 15
"Amischotolype hispida (Less. & A. Rich.) D. Y. Hong" 0 0
"Ampelopsis brevipedunculata (Maxim.) Traut. var. hancei (Planch.) Re" 2 0
"Ampelopsis cantoniensis (Hook. & Arn.) Planch." 1 0
"Antidesma japonicum Sieb. & Zucc. var. acutisepalum (Hayata) Hurusaw" 4 0
"Antidesma japonicum Sieb. & Zucc. var. densiflorum Hurusawa" 48 0
"Antidesma pentandrum Merr. var. barbatum (Presl) Merr." 7 0
"Aralia bipinnata Blanco" 2 0
"Aralia decaisneana Hance" 2 1
"Archidendron lucidum (Benth.) I. Nielsen" 50 0
"Ardisia cornudentata Mez" 3 0
"Ardisia cornudentata Mez subsp. morrisonensis (Hayata) Yuen P. Yang" 7 0
"Ardisia crenata Sims" 13 2
"Ardisia quinquegona Blume" 60 0
"Ardisia sieboldii Miq." 133 1
"Ardisia virens Kurz" 21 0
"Arenga tremula (Blanco) Becc." 0 0
"Aucuba chinensis Benth." 1 0
"Aucuba japonica Thunb." 16 1
"Barthea barthei (Hance) Krass" 3 34
"Bauhinia championii (Benth.) Benth." 2 0
"Beilschmiedia erythrophloia Hayata" 8 1
"Benthamidia japonica (Sieb. & Zucc.) Hara var. chinensis (Osborn) Hara" 1 0
"Berberis aristatoserrulata Hayata" 0 0
"Berberis kawakamii Hayata" 0 0
"Berberis mingetsuensis Hayata" 0 1
"Bischofia javanica Bl." 1 0
"Blastus cochinchinensis Lour." 99 0
"Boehmeria densiflora Hook. & Arn." 1 0
"Boehmeria wattersii (Hance) Shih & Yang" 1 0
"Bredia gibba Ohwi" 2 0
"Bredia oldhamii Hooker f." 1 0
"Bretschneidera sinensis Hemsl." 6 0
"Breynia officinalis Hemsley" 1 0
"Bridelia balansae Tutch." 27 0
"Broussonetia papyrifera (L.) L Herit. ex Vent." 0 0
"Broussonetia papyrifera (L.) LHerit. ex Vent." 1 0
"Brugmansia suaveolens (Willd.) Bercht. & Presl" 0 0
"Buxus microphylla Sieb. & Zucc. subsp. sinica (Rehd. & Wils.) Hatusima" 3 0
"Callicarpa dichotoma (Lour.) K. Koch" 0 0
"Callicarpa formosana Rolfe" 31 0
"Callicarpa randaiensis Hayata" 6 7
"Callicarpa tikusikensis Masam." 3 0
"Camellia brevistyla (Hayata) Coh.-Stuart" 13 8
"Camellia caudata Wall." 0 0
"Camellia oleifera Abel." 4 0
"Camellia sasanqua Thunb." 0 0
"Camellia sinensis (L.) Ktze. f. formosensis Kitam." 1 0
"Camellia sinensis (L.) Ktze. var. assamica (Mast.) Kitam." 4 0
"Camellia tenuifolia (Hayata) Coh-Stuart" 46 31
"Carpinus kawakamii Hayata" 0 2
"Carpinus rankanensis Hayata" 0 3
"Casearia membranacea Hance" 6 0
"Castanopsis cuspidata (Thunb. ex Murray) Schottky var. carlesii (Hemsl.) Yamazaki" 81 34
"Castanopsis cuspidata (Thunb. ex Murray) Schottky var. carlesii (Hemsl.) Yamazaki f. sessilis (Nakai) Liao" 33 0
"Castanopsis fabri Hance" 0 0
"Castanopsis fargesii Fr." 0 0
"Castanopsis kawakamii Hayata" 0 0
"Castanopsis kusanoi Hayata" 0 0
"Celastrus hindsii Benth." 0 0
"Celastrus punctatus Thunb." 0 1
"Celtis formosana Hayata" 4 0
"Celtis sinensis Pers." 1 0
"Cephalotaxus wilsoniana Hayata" 0 7
"Chamaecyparis formosensis Matsum." 3 58
"Chamaecyparis obtusa Sieb. & Zucc. var. formosana (Hayata) Rehder" 6 49
"Cinnamomum austrosinense H. T. Chang" 4 0
"Cinnamomum camphora (L.) Presl." 7 0
"Cinnamomum insularimontanum Hayata" 4 2
"Cinnamomum macrostemon Hayata" 18 1
"Cinnamomum micranthum (Hayata) Hayata" 7 0
"Cinnamomum osmophloeum Kanehira" 15 0
"Cinnamomum subavenium Miq." 29 9
"Citrus depress Hayata" 1 0
"Citrus tachibana (Makino) Tanaka" 1 0
"Clerodendrum cyrtophyllum Turcz." 35 0
"Clerodendrum trichotomum Thunb." 4 1
"Cleyera japonica Thunb." 28 38
"Cleyera japonica Thunb. var. longicarpa (Yamamoto) Ling & Hsieh" 1 2
"Cleyera japonica Thunb. var. morii (Yamamoto) Masam." 39 4
"Cleyera japonica Thunb. var. taipinensis Keng" 3 51
"Crateva adansonii DC. subsp. formosensis Jacobs" 2 0
"Cryptocarya chinensis (Hance) Hemsl." 72 0
"Cryptocarya concinna Hance" 9 0
"Cryptomeria japonica (L. f.) D. Don" 1 0
"Cunninghamia konishii Hayata" 0 8
"Cunninghamia lanceolata (Lamb.) Hook." 0 0
"Cyathea lepifera (J. Sm. ex Hook.) Copel." 31 0
"Cyathea podophylla (Hook.) Copel." 34 0
"Cyathea spinulosa Wall. ex Hook." 20 0
"Cyclobalanopsis gilva (Bl.) Oerst." 15 2
"Cyclobalanopsis glauca (Thunb. ex Murray) Oerst." 29 8
"Cyclobalanopsis longinux (Hayata) Schottky" 70 38
"Cyclobalanopsis morii (Hayata) Schottky" 0 53
"Cyclobalanopsis pachyloma (O. Seem.) Schottky" 2 0
"Cyclobalanopsis salicina (Bl.) Oerst." 1 0
"Cyclobalanopsis sessilifolia (Bl.) Schottky" 45 77
"Cyclobalanopsis stenophylloides (Hayata) Kudo & Masam. ex Kudo" 6 60
"Cymbidium lancifolium Hook. f. var. aspidistrifolium (Fukuy.) S. S. Ying" 1 0
"Damnacanthus angustifolius Hayata" 2 0
"Damnacanthus indicus Gaertn." 11 0
"Daphne arisanensis Hayata" 0 3
"Daphne kiusiana Miq. var. atrocaulis (Rehder) Maekawa" 1 0
"Daphniphyllum glaucescens Bl. subsp. oldhamii (Hemsl.) Huang var. oldhamii (Hemsl.) Huang" 119 6
"Daphniphyllum himalaense (Benth.) Muell.-Arg. subsp. macropodum (Miq.) Huang" 9 45
"Debregeasia orientalis C. J. Chen" 0 1
"Dendrocnide meyeniana (Walp.) Chew" 0 0
"Dendropanax dentiger (Harms ex Diels) Merr." 65 67
"Derris laxiflora Benth." 0 0
"Deutzia cordatula Li" 0 0
"Deutzia pulchra Vidal" 0 1
"Deutzia taiwanensis (Maxim.) Schneider" 0 0
"Diospyros eriantha Champ. ex Benth." 31 0
"Diospyros japonica Sieb. & Zucc." 0 0
"Diospyros morrisiana Hance" 144 1
"Diospyros oldhamii Maxim." 0 0
"Distylium gracile Nakai" 1 0
"Distylium racemosum Sieb. & Zucc." 1 0
"Ecdysanthera rosea Hook. & Arn." 1 0
"Ehretia longiflora Champ. ex Benth." 1 0
"Elaeagnus formosana Nakai" 2 0
"Elaeagnus glabra Thunb." 6 0
"Elaeagnus grandifolia Hayata" 0 1
"Elaeagnus thunbergii Serv." 11 3
"Elaeocarpus japonicus Sieb. & Zucc." 111 48
"Elaeocarpus sylvestris (Lour.) Poir." 71 3
"Embelia laeta (L.) Mez" 2 0
"Embelia lenticellata Hayata" 0 0
"Engelhardia roxburghiana Wall." 81 4
"Eriobotrya deflexa (Hemsl.) Nakai" 18 3
"Euonymus carnosus Hemsl." 6 0
"Euonymus laxiflorus Champ. ex Benth." 6 0
"Euonymus oxyphyllus Miq." 3 0
"Euonymus spraguei Hayata" 0 1
"Euonymus tashiroi Maxim." 3 0
"Eurya acuminata DC." 14 2
"Eurya chinensis R. Br." 54 2
"Eurya crenatifolia (Yamamoto) Kobuski" 35 32
"Eurya glaberrima Hayata" 5 60
"Eurya gnaphalocarpa Hayata" 6 0
"Eurya leptophylla Hayata" 8 50
"Eurya loquaiana Dunn" 101 87
"Eurya nitida Korthals" 18 0
"Eurya strigillosa Hayata" 0 17
"Euscaphis japonica (Thunb.) Kanitz" 10 0
"Eustigma oblongifolium Gardn. & Champ." 0 6
"Fatsia polycarpa Hayata" 4 32
"Ficus ampelas Burm. f." 0 0
"Ficus erecta Thunb. var. beecheyana (Hook. & Arn.) King" 106 0
"Ficus fistulosa Reinw. ex Bl." 52 0
"Ficus formosana Maxim." 59 0
"Ficus irisana Elm." 1 0
